,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1998,0.639,0.134,0,-17.832,1,0.0461,0.963,0.888,0.0797,0.259,67.715,audio_features,1Dn4xfTFsE7T3QM7adZFo4,spotify:track:1Dn4xfTFsE7T3QM7adZFo4,https://api.spotify.com/v1/tracks/1Dn4xfTFsE7T3QM7adZFo4,https://api.spotify.com/v1/audio-analysis/1Dn4xfTFsE7T3QM7adZFo4,231380,4
1999,0.588,0.166,8,-19.538,1,0.0372,0.954,0.879,0.229,0.194,104.232,audio_features,7hOfHLHUyYaOVuL8MxzoLv,spotify:track:7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/tracks/7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/audio-analysis/7hOfHLHUyYaOVuL8MxzoLv,202428,3
2000,0.586,0.149,5,-17.097,1,0.0401,0.947,0.923,0.105,0.106,85.388,audio_features,0l38zb1uYJy2XlSblloL17,spotify:track:0l38zb1uYJy2XlSblloL17,https://api.spotify.com/v1/tracks/0l38zb1uYJy2XlSblloL17,https://api.spotify.com/v1/audio-analysis/0l38zb1uYJy2XlSblloL17,220431,3
2001,0.374,0.19,11,-16.647,1,0.0342,0.944,0.925,0.109,0.114,101.761,audio_features,4sM2NQDJUC9PRbswwfdFwT,spotify:track:4sM2NQDJUC9PRbswwfdFwT,https://api.spotify.com/v1/tracks/4sM2NQDJUC9PRbswwfdFwT,https://api.spotify.com/v1/audio-analysis/4sM2NQDJUC9PRbswwfdFwT,192804,4
2002,0.485,0.0873,5,-20.686,0,0.0349,0.937,0.925,0.241,0.0947,76.406,audio_features,4cXWKqGv91HzvKQe0r6dNJ,spotify:track:4cXWKqGv91HzvKQe0r6dNJ,https://api.spotify.com/v1/tracks/4cXWKqGv91HzvKQe0r6dNJ,https://api.spotify.com/v1/audio-analysis/4cXWKqGv91HzvKQe0r6dNJ,206784,4
2003,0.491,0.168,5,-19.009,1,0.0391,0.878,0.799,0.0901,0.226,134.011,audio_features,5lKkgKB4yZ6BW0Aps1CKcL,spotify:track:5lKkgKB4yZ6BW0Aps1CKcL,https://api.spotify.com/v1/tracks/5lKkgKB4yZ6BW0Aps1CKcL,https://api.spotify.com/v1/audio-analysis/5lKkgKB4yZ6BW0Aps1CKcL,153287,4
2004,0.557,0.16,10,-16.4,0,0.0401,0.96,0.886,0.0926,0.0577,123.398,audio_features,5QTJAnT7nhRzKAhtIActwk,spotify:track:5QTJAnT7nhRzKAhtIActwk,https://api.spotify.com/v1/tracks/5QTJAnT7nhRzKAhtIActwk,https://api.spotify.com/v1/audio-analysis/5QTJAnT7nhRzKAhtIActwk,269003,4
2005,0.378,0.149,8,-18.595,1,0.043,0.972,0.92,0.113,0.162,116.021,audio_features,1oXb2a7joQ4cre3t2W24hu,spotify:track:1oXb2a7joQ4cre3t2W24hu,https://api.spotify.com/v1/tracks/1oXb2a7joQ4cre3t2W24hu,https://api.spotify.com/v1/audio-analysis/1oXb2a7joQ4cre3t2W24hu,206945,4
2006,0.563,0.234,5,-15.507,0,0.0439,0.961,0.94,0.191,0.127,125.259,audio_features,5ig6zG9Mpf9Y6PT9pRfSJA,spotify:track:5ig6zG9Mpf9Y6PT9pRfSJA,https://api.spotify.com/v1/tracks/5ig6zG9Mpf9Y6PT9pRfSJA,https://api.spotify.com/v1/audio-analysis/5ig6zG9Mpf9Y6PT9pRfSJA,255211,4
2007,0.455,0.112,9,-20.048,1,0.0371,0.898,0.866,0.126,0.333,62.585,audio_features,5CHYbV9TiI3V823hZBqN92,spotify:track:5CHYbV9TiI3V823hZBqN92,https://api.spotify.com/v1/tracks/5CHYbV9TiI3V823hZBqN92,https://api.spotify.com/v1/audio-analysis/5CHYbV9TiI3V823hZBqN92,177353,4
